Midterm_Percentage,Assignment_Percentage,Practical_Percentage,Actual_Result
44.75,86.25,77.5,1
65.16666667,110.875,80,1
72.33333333,101.875,2.5,1
67.25,87.75,12.5,1
62.5,78.25,40,1
66.25,97.625,90,1
52.08333333,67,58.75,0
63.33333333,83.5,85,1
66.25,91.125,68.75,1
52.66666667,108.375,45,1
55.83333333,84.5,78.75,1
50.58333333,95.5,67.5,1
55.41666667,82.375,70,1
70.41666667,77.875,95,1
70,99.25,91.25,1
61,90.625,75,1
73.33333333,82.125,72.5,0
65.16666667,93.75,70,1
62.58333333,96.625,62.5,1
56.25,85,61.25,1
45,39.125,57.5,1
60,98,60,1
49.16666667,92.125,71.25,1
53.08333333,73.375,78.75,1
55,100,71.25,1
55.83333333,80.625,60,1
36.41666667,51.5,75,1
65.16666667,104.5,67.5,1
0,32.625,76.25,0
56.25,81.5,87.5,1
61,90.875,40,1
65.16666667,75.875,85,1
67.33333333,78,75,1
70.83333333,106.875,0,1
60,87.375,77.5,1
60.91666667,95,77.5,1
47.5,84.125,85,1
42.25,53.625,0,1
45,91.375,63.75,1
64.58333333,88.875,80,1
56.91666667,94.75,70,1
52.66666667,90.625,0,1
61.5,94,82.5,1
63.75,112.75,75,1
65.66666667,83.625,45,1
70.41666667,97.125,67.5,1
55.25,45.125,78.75,1
36.75,47.875,42.5,1
60.41666667,72.875,70,1
32.91666667,85.375,78.75,1
50.16666667,32.25,72.5,1
78.58333333,99.75,71.25,1
63.5,101.125,77.5,1
51.83333333,82.125,62.5,1
55.83333333,90,71.25,1
47.5,52.375,77.5,1
67.25,94.25,2.5,1
40.5,50.75,71.25,0
46,87.5,83.75,1
64.58333333,98.75,52.5,1
74.58333333,109.125,75,1
68.16666667,99,71.25,1
63.75,101,58.75,1
47.66666667,47.25,72.5,1
28.33333333,84.625,77.5,1
61.66666667,69.875,72.5,1
67.66666667,70.25,60,1
33.33333333,77.875,55,1
21.66666667,90.75,76.25,1
41.66666667,83.375,75,1
59.33333333,90.875,82.5,1
56.83333333,82.5,73,1
57.33333333,61.5,85,1
46.5,83.125,73,1
55.83333333,100.625,73,1
72.91666667,101.125,85,1
61.5,97.125,76,1
51,74.25,73,1
64,74.125,67,1
60.91666667,92.5,79,1
64.16666667,111.625,83,1
57.91666667,93.25,79,1
55.83333333,89.625,40,1
66.66666667,74.875,84,1
54.16666667,69.5,85,1
39.75,85.375,79,1
70.25,105,73,1
42.25,86.25,67,1
58,87.875,40,1
47.5,70.375,40,1
62.08333333,57.875,73,1
58.91666667,54.375,72,1
68.33333333,71.375,85,1
52.66666667,54.125,77,1
42.66666667,44.875,73,1
58.5,74.625,79,1
78.08333333,63.75,85,1
60,69.5,85,1
30.41666667,40.5,79,0
50,42,73,1
60.58333333,44,79,1
54.41666667,62,50,1
28.75,68.25,70,1
55.41666667,50.25,45,0
64.25,83.5,80,1
51.83333333,55.375,90,1
74.16666667,67,45,1
57.58333333,67.25,80,1
62.58333333,63.5,90,1
53.33333333,44.25,85,1
58.75,71.75,80,1
62.66666667,66.5,70,1
51,60.375,55,1
56.83333333,79.75,70,1
67.25,73.875,90,1
50.66666667,54.125,45,1
16.41666667,6.875,45,0
56.41666667,77.125,55,1
66.41666667,72.375,45,1
58.91666667,83.875,80,1
32.66666667,38.125,80,0
50,23.5,20,1
52.08333333,69.375,45,1
53.91666667,54.125,80,1
62.66666667,69.375,70,1
66.83333333,77.75,55,1
58.41666667,78.125,85,1
62.08333333,48.5,45,1
50.16666667,70.125,90,1
51.83333333,65.625,80,1
69.83333333,63.375,82.5,1
51.41666667,72.375,72.5,1
56.41666667,50.375,85,1
58.33333333,40.875,65,1
41.41666667,65,82.5,1
64.75,88.125,77.5,1
67.33333333,79.75,82.5,1
67.5,77.25,52.5,1
37.08333333,69.875,87.5,1
59.16666667,80.125,77.5,1
62.5,77.125,77.5,1
66.75,73.125,67.5,0
NULL,NULL,82.5,0
NULL,NULL,92.5,1
NULL,NULL,90,1
NULL,NULL,87.5,1
NULL,NULL,75,1
NULL,NULL,75,1
NULL,NULL,97.5,1
NULL,NULL,52.5,1
NULL,NULL,67.5,1
NULL,NULL,65,1
NULL,NULL,87.5,1
NULL,NULL,57.5,1
NULL,NULL,77.5,1
NULL,NULL,65,0
32.33333333,0,85,0
59,18.75,50,0
NULL,NULL,57.5,1
NULL,NULL,92.5,1
NULL,NULL,85,1
NULL,NULL,72.5,1
NULL,NULL,90,0
39.91666667,0,70,0
36.08333333,14.875,95,0
NULL,NULL,77.5,1
NULL,NULL,85,1
NULL,NULL,97.5,1
NULL,NULL,92.5,1
NULL,NULL,75,1
NULL,NULL,77.5,1
NULL,NULL,75,1
NULL,NULL,80,1
NULL,NULL,87.5,1
NULL,NULL,57.5,1
NULL,NULL,85,1
NULL,NULL,70,1
NULL,NULL,82.5,1
NULL,NULL,NULL,1
NULL,NULL,NULL,1
NULL,NULL,NULL,1
NULL,NULL,NULL,0
NULL,NULL,NULL,0
43,0,NULL,0
NULL,NULL,NULL,1
NULL,NULL,NULL,1
NULL,NULL,NULL,1
NULL,NULL,NULL,1
NULL,NULL,NULL,1
NULL,NULL,NULL,1
NULL,NULL,NULL,0
NULL,NULL,NULL,1
NULL,NULL,NULL,1
NULL,NULL,NULL,0
0,33.625,NULL,0
NULL,NULL,NULL,1
72.91666667,82.875,44,1
64.58333333,56.25,69.25,1
59.66666667,85.125,52.15,1
70.83333333,98.5,46.4,1
33.33333333,62.5,56,0
73.58333333,99.25,69.25,1
59.66666667,85.125,44.75,1
70.83333333,75.875,64.25,1
30.5,82.875,56.25,1
41.66666667,70.375,0,1
59.66666667,62.875,84.4,1
68,76.625,66.9,1
37.5,30.75,51.65,0
36.75,69.25,61.5,1
83.33333333,112.5,52.15,1
30.5,51.25,11,0
80.5,86.75,63,1
50,77,87.2,1
74.25,91.125,51,1
56.91666667,70.375,42.25,1
62.5,90.625,91.65,1
67.33333333,63.25,55.75,1
60.41666667,69.5,43.65,1
38.83333333,57.5,86,1
51.33333333,48.625,55.75,1
80.5,98.5,62.9,1
72.16666667,91.375,40.5,1
59.66666667,64.125,68.65,1
0,11.75,40.5,0
55.5,79,0,1
62.5,89.125,61,1
57.58333333,82.5,73.15,1
66.66666667,90.875,76,1
50,38,66.4,1
55.5,63.75,73.4,1
38.16666667,69.25,55.25,1
41.66666667,45.375,65.5,1
34.66666667,33.625,21,0
36.83333333,0,90,0
48.58333333,77.375,45.75,1
52,87.5,42,1
50,68,63.4,1
80.5,86.75,62.5,1
58.33333333,67.625,40.25,1
59,38.25,2.75,1
62.5,81.25,40.5,1
61.08333333,64.125,46,1
0,80.625,69.5,1
0,100,77.5,1
62.5,96.875,66.15,1
75,92.25,53.5,1
65.25,68,0,1
59.66666667,87.5,41.5,1
37.5,52.125,76.75,0
50,57.125,80.25,1
53.5,88.375,56.75,1
58.33333333,27.625,0,1
48.58333333,92.875,40.15,1
36.08333333,74.125,53.75,1
49.33333333,69.625,0,1
64.58333333,77.625,46.75,1
62.5,82.125,82.25,1
58.33333333,99.125,66.25,1
63.16666667,79.5,49,1
70.83333333,106.25,49.5,1
37.5,54.5,48,1
79.16666667,92,0,1
75.66666667,78.625,63,1
0,10.75,NULL,0
73.58333333,111.625,NULL,1
69.41666667,107.125,NULL,1
69.41666667,105.75,NULL,1
0,0,NULL,0
59.75,65.125,NULL,0
42,87.5,NULL,1
58.33333333,98.625,NULL,1
31.25,40.125,NULL,0
73.58333333,83.875,NULL,1
60.41666667,79.5,NULL,1
45.83333333,37.5,NULL,1
49.33333333,74.125,NULL,1
72.25,105.375,NULL,1
66,53.875,NULL,1
56.91666667,98.25,NULL,0
59.75,111.625,NULL,1
72.25,80.375,NULL,1
73.58333333,83.875,NULL,1
50,67,NULL,1
67.33333333,97.375,NULL,1
54.16666667,96.875,NULL,1
72.25,88.375,NULL,1
16.66666667,14.25,90,0
63.91666667,70.5,80,1
66,105.375,80,1
59.75,80.375,80,1
75,104.875,80,1
59.75,60.75,90,1
64.58333333,91.5,90,1
77.08333333,92.375,90,1
77.75,110.75,50,1
67.33333333,82.125,90,1
59.75,87.5,75,1
59,76.375,50,1
56.91666667,104.5,70.5,1
59.75,98.25,80,1
66.66666667,92,50,1
44.41666667,88.625,80,1
55.83333333,115.875,50,1
25.66666667,69.375,90,1
43.08333333,70.5,90,1
60,86.375,80,1
31.91666667,103.375,90,1
42,75,80,1
26.08333333,45.5,0,0
42.75,84.125,80,1
63.91666667,113.625,50,1
33.33333333,72.75,50,1
49.66666667,84.75,90,1
57.66666667,105.625,90,1
59,96.625,80,1
47.91666667,97.75,80,1
52.75,98.875,90,1
42.33333333,77.25,75,1
35.41666667,58,65,1
50,56.875,85,1
38.16666667,71.625,90,1
45.83333333,95.5,90,1
32.66666667,77.25,80,1
65.25,88.625,80,1
26.08333333,84.125,85,1
45.16666667,62.5,55,1
39.91666667,71.625,85,1
50.66666667,98.375,90,1
60.41666667,81.875,90,1
23.25,89.75,90,1
53.5,73.875,90,1
63.16666667,93.375,85,1
62.83333333,107.5,85,1
46.5,82.5,85,1
61.08333333,82.5,0,1
65.25,100,75,1
35.08333333,81.625,85,1
52.75,104.125,0,1
78.5,120.875,85,1
42.33333333,70.875,85,1
59.41666667,102.5,85,1
25.66666667,88.375,85,1
